dod_id,requirement,status,implementation_evidence,test_evidence,documentation_evidence,acceptance_owner,notes
1,It is independently designed as a greenfield plugin.,Not assessed,,,,,
2,AI is the primary semantic interpreter and planner.,Not assessed,,,,,
3,No production keyword/regex/first-match router substitutes for intelligence.,Not assessed,,,,,
4,"Typed interpretation, plan, response, evidence, verification, and tool contracts work end to end.",Not assessed,src/AI/Contract/ProviderRequest.php; src/AI/Provider/ProviderRequestAttestor.php; src/AI/Provider/ProviderTransmissionGate.php; src/AI/Provider/ProviderSafeToolResultProjector.php; src/AI/Provider/GeminiProviderAdapter.php; src/Conversation/Domain/ContextBundleAttestor.php; src/Conversation/Contract/ContextBundleContract.php; src/Requirements/Tool/RequirementsToolHandler.php; src/Recommendation/Tool/RecommendationToolHandler.php; src/Recommendation/Tool/RecommendationOutputSchemas.php,tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Provider/run-provider-safe-projection.php; tests/Requirements/run-requirement-state-contract.php; tests/Recommendation/run-recommendation-state-binding.php,config/contracts/schemas/context-bundle.schema.json; config/contracts/README.md; docs/logical-tool-catalog.md; docs/test-strategy.md; docs/review-and-implementation-report-0.1.7.md,,Bounded deterministic contracts now cover persisted runtime-attested Context Bundles closed provider requests recursively closed ToolResult projections strict Gemini steps final-body equality and typed requirement/recommendation outputs; projection coverage typed semantic interpretation and live provider/WooCommerce whole-path acceptance remain unassessed.
5,The bounded orchestration lifecycle executes and recovers safely.,Not assessed,src/AI/Orchestration/CommerceAgent.php; src/AI/Orchestration/DecisionPlanExecutor.php; src/AI/Orchestration/MutationFailureOutcome.php; src/AI/Provider/ProviderTransmissionGate.php,tests/AI/run-strict-orchestration.php; tests/Provider/run-provider-transmission-boundary.php,docs/architecture.md; docs/test-strategy.md; docs/review-and-implementation-report-0.1.7.md,,The bounded local path accounts for consumed Pending Question mutations and persists partial outcomes after later provider failure; coherent post-mutation refresh and live timeout/recovery evidence remain unassessed.
6,"Context preserves source, authority, scope, freshness, contradiction, and access.",Not assessed,src/Conversation/Domain/ContextBundleAttestor.php; src/Conversation/Domain/ContextBundleManifest.php; src/Conversation/Persistence/WpdbContextBundleManifestRepository.php; src/Conversation/Application/ContextBundleAssembler.php; src/Conversation/Contract/ContextBundleContract.php; src/AI/Provider/ProviderTransmissionGate.php; src/AI/Orchestration/WooAuthoritativeContextProvider.php; src/Requirements/Application/RequirementStateService.php; src/Recommendation/Tool/RecommendationToolHandler.php,tests/AI/run-ai-context-governance.php; tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Recommendation/run-recommendation-state-binding.php,config/contracts/schemas/context-bundle.schema.json; docs/architecture.md; docs/logical-tool-catalog.md; docs/review-and-implementation-report-0.1.7.md,,The bounded Context Bundle and metadata-only manifest preserve exact included/excluded identity authority actor/blog scope freshness classification purpose and selection and fail closed under tamper unpersisted state or route revocation; contradiction behavior source-deletion propagation and live access evidence remain unassessed.
7,"Memory and summaries remain accurate, correctable, consent-aware, and free of hidden reasoning.",Not assessed,src/Conversation/Domain/ContextBundle.php; src/Conversation/Domain/ContextBundleAttestor.php; src/Conversation/Domain/ContextBundlePolicy.php; src/Conversation/Application/ContextBundleAssembler.php; src/Conversation/Contract/ContextBundleContract.php; src/Requirements/Domain/RequirementState.php; src/Requirements/Application/RequirementStateService.php; src/Privacy/WordPressPrivacyIntegration.php,tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Privacy/run-requirement-privacy-compatibility.php,config/contracts/schemas/context-bundle.schema.json; docs/architecture.md; docs/data-schema-lifecycle.md; docs/privacy-retention-files.md,,Bounded runtime-attested actor-scoped Context Bundle assembly and requirement correction paths have deterministic evidence and omit unvalidated memory summaries and hidden reasoning; validated summaries consent policy durable bundle manifests and broader continuity remain unassessed.
8,"Knowledge is approved, versioned, grounded, injection-resistant, and rollbackable.",Not assessed,,,,,
9,Human-quality conversation passes approved thresholds.,Not assessed,,,,,
10,"Multi-intent, references, corrections, interruption, and resume work naturally.",Not assessed,,,,,
11,"Cultural, language, dialect, location, branch, and time behavior is correct and non-stereotyping.",Not assessed,,,,,
12,The agent remains transparently AI.,Not assessed,,,,,
13,Guests and customers are securely isolated.,Not assessed,src/AI/Orchestration/WooAuthoritativeContextProvider.php; src/Conversation/Application/ContextBundleAssembler.php; src/Conversation/Contract/ContextBundleContract.php; src/Requirements/Application/RequirementStateService.php; src/Requirements/Infrastructure/WpdbRequirementStateRepository.php; src/Identity/Application/GuestAccountLinkService.php,tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Migration/run-requirement-state-repository.php,docs/architecture.md; docs/data-schema-lifecycle.md; docs/review-and-implementation-report-0.1.7.md,,Exact logged-customer WordPress/Woo identity and actor/blog Context scope plus requirement-state isolation have deterministic evidence; full guest-to-Woo-session binding and live cross-customer/account-link matrices remain unassessed.
14,Every enabled workflow is initiable through natural text.,Not assessed,,,,,
15,"Voice, image, document, quote, product reference, and location inputs preserve uncertainty.",Not assessed,src/AI/Orchestration/CommerceAgent.php; src/Experience/Contract/ProductReferenceIdentity.php; src/Conversation/Application/ContextBundleAssembler.php; src/Conversation/Contract/ContextBundleContract.php,tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Accessibility/rendering-contract.test.php,config/contracts/schemas/context-bundle.schema.json; docs/architecture.md; docs/review-and-implementation-report-0.1.7.md,,The current turn binds persisted reply exact product-reference token and tuple attachment location-presence and quick-reply metadata and omits unsupported raw media; complete voice/image/document interpretation and live compatibility remain unassessed.
16,No media input authorizes a sensitive action.,Not assessed,,,,,
17,Product and variation resolution is exact.,Not assessed,src/Recommendation/Infrastructure/WooCommerceProductCandidateRepository.php; src/Recommendation/Application/RecommendationService.php; src/Recommendation/Tool/RecommendationToolHandler.php; src/Experience/Contract/ProductReferenceIdentity.php; src/Conversation/Application/ContextBundleAssembler.php,tests/Unit/Recommendation/RecommendationServiceTest.php; tests/Recommendation/run-recommendation-state-binding.php; tests/Conversation/run-context-bundle-contract.php; tests/Accessibility/rendering-contract.test.php,docs/logical-tool-catalog.md; docs/review-and-implementation-report-0.1.7.md,,Exact-ID hydration variable-parent warnings and exact actor-owned product-reference token/product/variation rebinding have bounded deterministic evidence; complete product resolution and live WooCommerce compatibility remain unassessed.
18,Recommendations preserve hard requirements and explain trade-offs.,Not assessed,src/Recommendation/Tool/RecommendationToolHandler.php; src/Recommendation/Tool/RecommendationOutputSchemas.php; src/Recommendation/Application/RecommendationService.php; src/Recommendation/Infrastructure/WooCommerceProductCandidateRepository.php; src/Recommendation/Infrastructure/WordPressPublishedRecommendationPolicyRepository.php,tests/Recommendation/run-recommendation-state-binding.php; tests/Unit/Recommendation/RecommendationServiceTest.php; tests/Unit/Recommendation/RecommendationToolBindingTest.php,docs/logical-tool-catalog.md,,Server-owned requirement binding hard exclusions structured trade-offs and closed outputs have deterministic evidence; response grounding live WooCommerce and acceptance remain unassessed.
19,Product cards remain truthful and current.,Not assessed,,,,,
20,Cart operations are authoritative and idempotent.,Not assessed,,,,,
21,Compound cart requests have atomic or explicit partial semantics.,Not assessed,,,,,
22,"Checkout is a persistent conversation, not a wizard.",Not assessed,,,,,
23,Fulfillment is classified before irrelevant shipping questions.,Not assessed,,,,,
24,"Delivery reviews recipient, phone, and address before final rate calculation.",Not assessed,,,,,
25,"Pickup uses current eligible branches, hours, cutoffs, and contact.",Not assessed,,,,,
26,Virtual and mixed carts follow applicable dependencies only.,Not assessed,,,,,
27,"Shipping, tax, fees, and totals come from current WooCommerce calculations.",Not assessed,,,,,
28,Billing and required fields are collected only when needed.,Not assessed,,,,,
29,Only currently eligible payment methods are shown.,Not assessed,,,,,
30,Final checkout review is complete and exact.,Not assessed,,,,,
31,"Sensitive actions use fresh, explicit, single-use confirmation.",Not assessed,,,,,
32,Duplicate requests cannot create duplicate writes.,Not assessed,src/Requirements/Contract/RequirementStateRepository.php; src/Requirements/Infrastructure/WpdbRequirementStateRepository.php,tests/Requirements/run-requirement-state-contract.php; tests/Migration/run-requirement-state-repository.php,docs/data-schema-lifecycle.md,,Unique-head insertion and version/hash/actor-scoped successor compare-and-swap have deterministic evidence; the complete commerce-write inventory remains unassessed.
33,Gateway uncertainty is verified before retry.,Not assessed,,,,,
34,Customers read and track only owned orders.,Not assessed,,,,,
35,Order/payment/fulfillment/tracking statuses remain separate.,Not assessed,,,,,
36,Direct order actions are limited by the Customer Action Matrix.,Not assessed,,,,,
37,"Order amendments are locked, fully recalculated, financially consistent, and reconciled.",Not assessed,,,,,
38,Unsupported direct changes become confirmed CRM requests.,Not assessed,,,,,
39,Case decision and order execution remain separate.,Not assessed,,,,,
40,Offline-payment evidence can be submitted now or later.,Not assessed,,,,,
41,AI/OCR never approves payment or changes order status.,Not assessed,,,,,
42,Review decision and WooCommerce transition remain separate.,Not assessed,,,,,
43,Customers can later retrieve current CRM and payment-review status.,Not assessed,,,,,
44,Human handoff preserves context and clear authorship.,Not assessed,,,,,
45,"Staff viewing, messaging, notes, decision, and execution are separate capabilities.",Not assessed,,,,,
46,Historical customer-visible content never silently changes.,Not assessed,src/Requirements/Domain/RequirementState.php; src/Requirements/Application/RequirementStateService.php; src/Requirements/Tool/RequirementsToolHandler.php,tests/Requirements/run-requirement-state-contract.php,docs/data-schema-lifecycle.md; docs/logical-tool-catalog.md,,Requirement corrections preserve complete supersession and dispute history in bounded fixtures; all other customer-visible historical surfaces remain unassessed.
47,"Experience Studio cannot hide commercial truth, error state, confirmation, or accessibility.",Not assessed,,,,,
48,"Mobile, keyboard, safe-area, draft, connection, and RTL behavior is correct.",Not assessed,,,,,
49,Critical flows meet WCAG 2.2 AA.,Not assessed,,,,,
50,"External services are explicitly configured, minimized, and governed by privacy policy.",Not assessed,config/provider-route-manifest.php; src/AI/Provider/ProviderReadinessService.php; src/AI/Provider/ProviderReleaseGate.php; src/AI/Provider/ProviderTransmissionGate.php; src/AI/Provider/ProviderProhibitedDataRedactor.php; src/AI/Provider/ProviderSafeToolResultProjector.php; src/Conversation/Application/ContextBundleAssembler.php,tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Provider/run-provider-safe-projection.php,docs/privacy-retention-files.md; docs/provider-routing.md; docs/release-evidence.md; docs/review-and-implementation-report-0.1.7.md,,The route is Unconfigured and all five independent certifications remain false; bounded redaction store-false requests and closed result projections have deterministic evidence but complete coverage lifecycle approval legal basis and live privacy acceptance remain missing.
51,Prompt/tool/context/memory injection cannot expand authority.,Not assessed,src/Conversation/Domain/ContextBundleAttestor.php; src/AI/Provider/ProviderRequestAttestor.php; src/AI/Provider/ProviderTransmissionGate.php; src/Requirements/Application/RequirementStateService.php; src/Recommendation/Tool/RecommendationToolHandler.php; src/Conversation/Application/ContextBundleAssembler.php,tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Recommendation/run-recommendation-state-binding.php,docs/architecture.md; docs/logical-tool-catalog.md; docs/review-and-implementation-report-0.1.7.md,,Forged bundles requests widened final bodies non-default routes caller requirement arrays scores stale references and competing legacy context are denied in deterministic fixtures; full adversarial and provider-safe result-projection acceptance remains unassessed.
52,Attachments are protected and cross-customer isolated.,Not assessed,,,,,
53,WooCommerce and approved adapters remain authoritative.,Not assessed,src/AI/Orchestration/WooAuthoritativeContextProvider.php; src/Cart/Tool/CartToolHandler.php; src/Checkout/Infrastructure/WooCommerceCheckoutAuthority.php; src/Recommendation/Infrastructure/WooCommerceProductCandidateRepository.php; src/Recommendation/Infrastructure/WordPressPublishedRecommendationPolicyRepository.php; src/Recommendation/Application/RecommendationService.php,tests/Provider/run-provider-transmission-boundary.php; tests/Cart/run-cart-clear.php; tests/Checkout/run-checkout-domain.php; tests/Unit/Recommendation/RecommendationServiceTest.php; tests/Recommendation/run-recommendation-state-binding.php,docs/architecture.md; docs/logical-tool-catalog.md; docs/data-schema-lifecycle.md; docs/review-and-implementation-report-0.1.7.md,,Context cart and cart/checkout operations require exact Veyra WordPress Woo customer and session identity while product facts use public Woo APIs; guest binding snapshot coherence and live adapter compatibility remain unassessed.
