anchor_id,canonical_requirement,source_sections,owning_domains,minimum_evidence,implementation_status,test_status,documentation_status,acceptance_status,evidence_links
VYR-AI-001,"AI is the primary semantic interpreter and planner; regex, keyword, verb-table, fixed-question, and first-match routing cannot substitute for intelligence.",0.2; 3.1; 6.2; 27.1,AI orchestration; architecture,architecture tests; adversarial semantic-routing tests; code review,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-AI-002,"Interpretation, plan, response, evidence, verification, and tool output use strict versioned schemas.",6.3; 6.11; 7.8,AI contracts; tool registry; verification,schema unit/contract tests; malformed-output tests,Not assessed,Not assessed,Not assessed,Not assessed,config/contracts/logical-tool-catalog.json; config/contracts/schemas/context-bundle.schema.json; src/AI/Contract/ProviderRequest.php; src/AI/Provider/ProviderPayloadValidator.php; src/AI/Provider/ProviderRequestAttestor.php; src/AI/Provider/ProviderTransmissionGate.php; src/AI/Provider/GeminiProviderAdapter.php; src/AI/Orchestration/CommerceAgent.php; src/Conversation/Domain/ContextBundleAttestor.php; src/Conversation/Contract/ContextBundleContract.php; src/Requirements/Tool/RequirementsToolHandler.php; src/Recommendation/Tool/RecommendationToolHandler.php; src/Recommendation/Tool/RecommendationOutputSchemas.php; tests/AI/run-ai-context-governance.php; tests/AI/run-strict-orchestration.php; tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Recommendation/run-recommendation-state-binding.php; docs/logical-tool-catalog.md; docs/review-and-implementation-report-0.1.7.md
VYR-AI-003,"The orchestration loop is bounded and follows understand, authorize, retrieve, execute, observe, verify, and respond.",3.10; 6.2,orchestration,bounded-loop tests; timeout/circuit-breaker tests; operation-result fidelity,Not assessed,Not assessed,Not assessed,Not assessed,src/AI/Orchestration/CommerceAgent.php; src/AI/Orchestration/DecisionPlanExecutor.php; src/AI/Orchestration/MutationFailureOutcome.php; src/AI/Provider/ProviderTransmissionGate.php; tests/AI/run-strict-orchestration.php; tests/Provider/run-provider-transmission-boundary.php; docs/review-and-implementation-report-0.1.3.md; docs/review-and-implementation-report-0.1.7.md
VYR-AI-004,Google Gemini is the default release-tested provider; exact model IDs remain centralized release configuration behind replaceable adapters and explicit fallback/privacy policy.,0.2; 3.17; 6.10; 16.1,provider adapters; model routing; administration,adapter contract tests; readiness tests; privacy/no-activation-call tests; fallback tests,Not assessed,Not assessed,Not assessed,Not assessed,config/provider-route-manifest.php; config/contracts/provider-route-manifest.yaml; src/AI/Provider/GeminiProviderAdapter.php; src/AI/Provider/ProviderReadinessService.php; src/AI/Provider/ProviderReadinessStateStore.php; src/AI/Provider/ProviderReleaseGate.php; src/AI/Provider/ProviderRequestAttestor.php; src/AI/Provider/ProviderTransmissionGate.php; tests/Provider/run-provider-transmission-boundary.php; docs/provider-routing.md; docs/review-and-implementation-report-0.1.7.md; docs/release-evidence.md
VYR-CTX-001,"Context and evidence preserve source, authority, scope, freshness, contradiction, and access.",0.5; 6.4; 6.11,context graph; evidence,authority/freshness/conflict tests; evidence-ledger tests,Not assessed,Not assessed,Not assessed,Not assessed,config/contracts/schemas/context-bundle.schema.json; src/Context/Tool/ContextToolHandler.php; src/AI/Tool/ToolResultValidator.php; src/AI/Provider/ProviderTransmissionGate.php; src/AI/Orchestration/WooAuthoritativeContextProvider.php; src/Conversation/Domain/ContextBundle.php; src/Conversation/Domain/ContextBundleAttestor.php; src/Conversation/Application/ContextBundleAssembler.php; src/Conversation/Contract/ContextBundleContract.php; src/Requirements/Application/RequirementStateService.php; src/Recommendation/Tool/RecommendationToolHandler.php; tests/AI/run-ai-context-governance.php; tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Recommendation/run-recommendation-state-binding.php; docs/architecture.md; docs/logical-tool-catalog.md; docs/review-and-implementation-report-0.1.7.md
VYR-MEM-001,"Mandatory Conversation Focus, Conversation Memory, Journey State, Context Bundles, validated summaries, and optional durable preferences are bounded, actor-scoped, correctable, freshness-aware, and erasable where applicable.",0.3-0.5; 6.5; 20.1-20.4,conversation continuity; memory; persistence,scope/isolation tests; correction/expiry tests; summary-drift tests; export/erasure tests,Not assessed,Not assessed,Not assessed,Not assessed,config/contracts/schemas/context-bundle.schema.json; config/contracts/schemas/conversation-focus.schema.json; src/Conversation/Domain/ConversationFocus.php; src/Conversation/Application/ConversationStateUpdater.php; src/Conversation/Persistence/WpdbConversationStore.php; src/Infrastructure/Database/Migration/ConversationFocusReferencesMigration.php; src/Conversation/Domain/ContextBundle.php; src/Conversation/Domain/ContextBundleAttestor.php; src/Conversation/Domain/ContextBundlePolicy.php; src/Conversation/Application/ContextBundleAssembler.php; src/Conversation/Contract/ContextBundleContract.php; src/AI/Provider/ProviderTransmissionGate.php; src/Requirements/Domain/RequirementState.php; src/Requirements/Application/RequirementStateService.php; src/Requirements/Infrastructure/WpdbRequirementStateRepository.php; src/Identity/Application/GuestAccountLinkService.php; src/Privacy/WordPressPrivacyIntegration.php; tests/Conversation/run-conversation-focus.php; tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Migration/run-requirement-state-repository.php; tests/Privacy/run-requirement-privacy-compatibility.php; docs/data-schema-lifecycle.md; docs/privacy-retention-files.md; docs/review-and-implementation-report-0.1.7.md
VYR-KNW-001,"Merchant knowledge is approved, versioned, effective-date-aware, injection-resistant, and traceable.",6.6; 16.2; 22.2,knowledge/RAG,approval/effective-date tests; injection tests; citation/freshness tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CON-001,"Customer workflows are natural conversations over durable typed state, not forms or fixed dialogue trees.",3.2; 4; 10,conversation; journeys,natural-order and non-wizard E2E tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CON-002,"Multi-intent, references, corrections, interruptions, pause, resume, and no-repeat behavior work end to end.",4.3-4.8; 6.5,conversation; journey state,multi-intent/reference/correction/interruption/resume tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CON-003,"Short contextual replies bind only to the current valid focus and Pending Question, continue without repetition when clear, and trigger minimal clarification when material ambiguity remains.",4.4; 19.2,conversation focus; pending questions; confirmation,short-reply binding tests; ambiguity tests; sensitive-binding safety tests,Not assessed,Not assessed,Not assessed,Not assessed,src/Conversation/Application/ShortReplyBindingValidator.php; src/Conversation/Persistence/WpdbConversationStore.php; src/Infrastructure/Database/Migration/PendingQuestionBindingMigration.php; src/AI/Orchestration/CommerceAgent.php; src/AI/Orchestration/MutationFailureOutcome.php; tests/Conversation/run-pending-question-consumption.php; tests/Provider/run-provider-transmission-boundary.php; docs/review-and-implementation-report-0.1.3.md; docs/review-and-implementation-report-0.1.7.md
