component,minimum_or_candidate_version,maximum_tested_version,configuration,required_scenarios,status,evidence,owner,notes
WordPress,6.5 (Proposed),,"single-site candidate; network-wide activation explicitly blocked; multisite Deferred","clean install; dependency checks; REST permission callbacks; admin/frontend; cron; privacy tools",Not assessed,"Deterministic network-activation denial fixture and official REST source review refreshed 2026-08-25; no live runtime test",,"Minimum is an implementation gate, not a support claim"
PHP,8.1 (Proposed),,"required extensions/memory limits Open","syntax; static analysis; runtime; migration; files; intl/date behavior",Not assessed,"No runtime matrix result",,"No tested upper version"
Database,Open Decision,,"MySQL/MariaDB engines and transactions/index limits Open","install; DDL; migrations; transactions; query plans; load; rollback",Not assessed,,,"DEC-004"
WooCommerce,8.5 (Proposed),,"no arbitrary upper bound; public APIs only","catalog; cart; checkout; shipping; tax; gateways; orders; refunds; My Account; activation",Not assessed,"Official HPOS/public-contract review refreshed 2026-08-25; no runtime test",,"Minimum is an implementation gate, not a compatibility declaration"
HPOS,Per supported WooCommerce,,"authoritative and supported compatibility modes","CRUD/query; ownership; notes; refunds; migration/sync modes; rollback",Not assessed,"Official HPOS guidance reviewed; no execution evidence",,"No posts/postmeta order assumptions"
Store API,Per supported WooCommerce,,"only where an approved public contract fits","cart/session; schema; permissions; Blocks parity; version changes",Not assessed,,,"Exact endpoint/extension contracts Open"
Cart and Checkout Blocks,Open Decision,,Blocks,"catalog/cart/checkout parity; extension fields; gateway return; mobile; RTL; accessibility",Not assessed,,,"DEC-003/005"
Classic checkout,Open Decision,,"shortcode/classic checkout","checkout parity; fields; gateway handoff; errors; theme interaction",Not assessed,,,"Support scope Open"
Action Scheduler,Available supported version,,"call only after WordPress init priority 1 has run or from action_scheduler_init; application idempotency required","initialization; unique schedule; retry/backoff; cancel; dead-letter; CLI/admin recovery",Not assessed,"Official API/initialization guidance reviewed 2026-08-25; no runtime test",,"Queue adapter decision Proposed; exact version/support Open"
WP-Cron/production runner,Open Decision,,"runner and missed-schedule behavior Open","delayed execution; backlog; duplicate; lock; recovery; monitoring",Not assessed,,,"DEC-019"
Themes,Per declared test set,,"launcher/panel/full-page/My Account; CSS isolation","mobile keyboard/safe area; focus; zoom; RTL; mixed direction; storefront regression",Not assessed,,,"DEC-008"
Payment gateways,Per approved adapter,,"declared gateway set only","eligibility; handoff; return; timeout; duplicate/out-of-order callback; reconciliation",Not assessed,,,"DEC-009"
Shipping/tax/duties extensions,Per approved adapter,,"declared public contracts only","packages; destination; rates; tax/fee recalculation; outage; invalidation",Not assessed,,,"DEC-010"
Subscriptions/loyalty/returns/bundles/pickup,Per certified optional adapter,,"optional modules Off until certification","authority; current eligibility; confirmation; idempotency; failure; fallback",Not assessed,,,"DEC-011"
Browsers/devices,Open Decision,,"desktop and mobile support set Open","keyboard; safe area; focus/scroll; upload/audio; reconnect; performance",Not assessed,,,"DEC-005"
Accessibility technologies,Open Decision,,"WCAG 2.2 AA critical flows","automated; keyboard; screen reader; 200/400% zoom; reduced motion; touch",Not assessed,"Official WordPress accessibility guidance reviewed; no test",,"Acceptance owners Open"
Arabic/English/RTL,Linguistic scope Open,,"Arabic/English and mixed direction are mandatory baseline behaviors","bidi isolation; numerals; currency; units; phone/address; dates/time; long content",Not assessed,,,"Priority dialects and qualified reviewers Open"
Google Gemini API,Interactions API (Proposed candidate),,"endpoint/region/privacy Open; request sets store=false","credentials; model availability; structured output; function calling; modalities; timeout; safe errors",Not assessed,"Official-source review refreshed 2026-08-25 for steps/store=false; no plugin readiness test",,"Provider readiness Unconfigured"
Google Gemini model,gemini-3.7-flash (observed candidate),,"release-selected exact model ID intentionally null","exact-ID availability; schemas; tools; modality; latency/cost; scenario thresholds; deprecation",Not assessed,"Exact stable candidate rechecked in official model directory on 2026-08-25; not readiness/compatibility/release certification",,"DEC-027"
